Quadrant,Game,Arabian Theme,Storyline,Localization,City Building,Military Strategy,Alliances and Diplomacy,Events and Quests,Hero System,PvP,PvE,Leaderboards,In-App Purchases,Advertisements
Stars,Tactical Strike,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stars,Tini Minies,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Stars,Last Day On Earth,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stars,Destiny Of Armor,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cash Cow,Sakkat Baloot,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes
Cash Cow,LUDO LAND,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes
Herd,WIZZO Application,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes
Herd,Abou Ashraf,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes
Herd,Madam Afaf,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes
Herd,Fananees,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes
Herd,Faqaqees,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes
Rocks,Street Fighter,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Rocks,Road Racing,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes
Rocks,Victoria Football,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Rocks,Snatch X,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
Borderline,Kingdom Of Glory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Borderline,Desert Warrior,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
